"workers_id","first_name","last_name","gender","phone","address","position","salary","is_working","hire_date","fire_date"
"1","Torrey","Thurstance","M","842-787-3974","17899 Magdeline Parkway","Library Services Assistant","170404","0","2018-01-01 00:28:01",""
"2","Beatriz","Hullin","F","240-103-1014","7 Dawn Avenue","Assistant Archivist","241162","1","2018-01-06 09:52:26",""
"3","Tammy","Church","M","477-272-8231","3520 Russell Junction","Assistant Archivist","69112","1","2018-01-12 00:28:01","2022-07-09 19:08:55"
"4","Maible","Drewell","F","473-658-9714","754 Merrick Drive","Assistant Archivist","179649","1","2018-02-13 15:26:19",""
"5","Hannis","Woodman","F","410-188-8501","74 Oak Valley Junction","Secretary","64819","1","2018-03-07 00:28:01","2020-01-09 13:53:24"
"6","Constancia","Gillbee","F","828-231-7966","38693 Roth Place","Secretary","181979","0","2018-03-08 09:28:01","2022-03-12 10:33:14"
"7","Kevan","Caveau","M","935-515-6439","18308 Sunnyside Hill","Library Services Assistant","196802","1","2018-04-14 10:28:46","2022-03-01 23:32:55"
"8","Samantha","Sarra","F","796-938-4421","8 Talmadge Crossing","Shelver","82556","0","2019-02-02 11:03:45",""
"9","Tobi","Whyffen","F","924-699-7729","654 Larry Hill","Library Services Assistant","236478","1","2019-02-13 22:34:51","2020-04-13 22:34:51"
"10","Casper","Beams","M","117-718-6505","26 Surrey Road","Manager","228315","1","2019-02-15 21:08:53","2020-03-15 21:08:53"
"11","Carolynn","Merwede","F","728-444-5767","092 Maryland Junction","Clerk","71642","0","2019-04-03 22:13:07",""
"12","Hurleigh","Boynes","M","321-328-7397","22827 Reindahl Point","Stock Manager","277689","0","2019-04-11 13:02:53",""
"13","Eve","Geffinger","F","362-511-1585","318 Magdeline Plaza","Secretary","283873","1","2019-05-10 22:42:10",""
"14","Nada","Franklyn","F","619-664-5045","495 Lakewood Plaza","Assistant Archivist","203287","0","2019-05-16 23:57:57",""
"15","Chiquia","Valentim","F","783-768-5293","66154 Vermont Place","Library Specialist","290581","0","2019-06-04 00:10:15",""
