"workers_id","first_name","last_name","gender","phone","address","position","salary","is_working","hire_date","fire_date"
"1","Evy","Grishmanov","F","918-736-5134","351 Aberg Plaza","Secretary","66191","0","2016-06-11 03:01:00","2021-04-18 13:31:11"
"2","Eugenius","Girdler","M","503-122-0636","2 Welch Park","Library Specialist","288340","0","2018-08-13 00:21:33","2020-01-13 00:21:33"
"3","Skyler","Ovid","M","618-208-2939","2234 Briar Crest Hill","Manager","64077","1","2013-04-01 02:49:24",""
"4","Mark","Llewelyn","M","892-882-3700","2053 Garrison Avenue","Clerk","98285","1","2020-01-23 22:13:32",""
"5","Conchita","Slay","F","311-386-7714","9686 Trailsway Hill","Automation Specialist","161319","1","2018-03-22 06:10:43",""
"6","Dominik","Gracey","M","805-138-4195","3788 Lawn Alley","Library Specialist","175069","1","2021-04-18 13:31:11",""
"7","Alfreda","Dubery","F","767-188-5902","1964 Tony Point","Stock Manager","141700","1","2012-02-09 11:12:57",""
"8","Lammond","Breeton","M","473-404-5897","89 Sauthoff Road","Information Assistant","247648","1","2017-11-05 05:18:37",""
"9","Deedee","Hercules","F","408-178-0392","07 Loeprich Alley","Supervisor","257228","0","2011-08-18 03:13:13","2014-10-18 03:13:13"
"10","Marinna","Smorfit","F","556-504-9779","969 Eastlawn Road","Manager","205819","0","2019-11-29 09:24:02","2020-08-29 09:24:02"
"11","Harlen","Madders","M","106-123-2662","5605 Eggendart Court","Secretary","111417","0","2012-01-11 00:46:18","2012-08-11 00:46:18"
"12","Vance","Ourtic","M","496-408-3836","40 Holy Cross Trail","Information Assistant","181650","0","2012-09-23 12:01:12","2016-04-23 12:01:12"
"13","Garald","Crady","M","218-903-1797","0 Larry Center","Shelver","231281","1","2013-04-03 22:56:38",""
"14","Arlee","Renahan","F","604-200-3732","41 Grim Hill","Stock Manager","260196","1","2022-09-27 08:28:58",""
"15","Levin","Labden","M","519-830-1007","881 Kingsford Point","Manager","287533","0","2021-09-01 05:29:43","2022-04-18 14:26:11"
"16","Joellyn","Hospital","F","410-941-4247","59902 Washington Alley","Manager","125710","0","2017-03-29 09:08:53","2021-04-18 13:31:11"
"17","Zenia","Sandham","F","939-174-4282","94733 Lillian Park","Library Specialist","86954","0","2022-03-06 14:26:11","2022-06-01 06:12:13"
"18","Shermie","Blanking","M","299-772-9611","0 Sage Terrace","Secretary","86441","1","2016-03-20 03:30:03",""
"19","Lucas","Garter","M","658-526-2073","9 Everett Circle","Stock Manager","243618","0","2014-12-01 08:02:23","2022-07-01 08:02:23"
"20","Consalve","Spadotto","M","316-539-9393","8881 Commercial Parkway","Manager","111753","1","2022-09-01 00:13:46",""
"21","Barty","Possa","M","920-453-1611","0232 Delaware Terrace","Supervisor","151979","0","2020-04-07 06:25:07","2021-04-18 13:31:11"
"22","Martino","Spofforth","M","265-914-7959","94 Sherman Avenue","Information Assistant","63651","0","2022-03-16 22:21:37","2022-03-06 14:26:11"
"23","Dulci","Enrrico","F","673-696-2950","9 Northview Place","Information Assistant","104075","1","2020-01-21 07:25:54",""
"24","Marla","Mosdall","F","140-400-9873","60366 Mcguire Place","Library Specialist","114908","1","2015-06-12 11:12:44",""
"25","Bob","Scothorne","M","715-778-0992","8140 Charing Cross Crossing","Clerk","145276","0","2016-12-20 23:41:23","2017-07-20 23:41:23"
"26","Roch","Robardet","F","144-813-7872","3 Bowman Lane","Shelver","231931","1","2015-07-24 07:20:21",""
"27","Nanny","Gammell","F","350-801-1579","0 Dixon Road","Library Services Assistant","207507","1","2012-04-05 10:34:35",""
"28","Pembroke","Benson","M","678-485-2341","1706 Macpherson Place","Automation Specialist","221992","0","2019-02-12 06:43:54","2021-12-12 06:43:54"
"29","Mara","Stiles","F","950-565-0349","1 Messerschmidt Street","Library Specialist","236826","0","2013-09-09 03:55:24","2017-12-09 03:55:24"
"30","Aguste","McKearnen","M","263-663-1911","2105 Dapin Place","Manager","129022","1","2013-07-05 11:30:07",""
"31","Maribel","Simonite","F","139-925-4906","190 Old Shore Way","Library Specialist","95592","1","2022-12-04 04:54:17",""
"32","Maddi","Paris","F","492-738-4454","3 Meadow Ridge Junction","Stock Manager","181996","0","2014-03-06 17:53:29","2017-09-25 12:00:42"
"33","Omar","Leupold","M","264-731-0093","2 Vidon Point","Clerk","72117","0","2017-05-30 17:08:39","2018-11-29 06:49:55"
"34","Saunders","Pillman","M","213-675-7685","668 Carberry Pass","Assistant Archivist","203357","1","2017-01-16 04:06:53",""
